cluster_id,cluster_name,company_count,companies,return_on_equity_pct_mean,return_on_equity_pct_median,debt_to_equity_mean,debt_to_equity_median,revenue_cagr_5yr_mean,revenue_cagr_5yr_median,fcf_cagr_5yr_mean,fcf_cagr_5yr_median,operating_profit_margin_pct_mean,operating_profit_margin_pct_median
0,Capital Efficient,60,"ABB, ADANIENSOL, ADANIENT, ADANIPOWER, AMBUJACEM, APOLLOHOSP, ASIANPAINT, ATGL, BAJAJ-AUTO, BHEL, BOSCHLTD, BPCL, BRITANNIA, DABUR, DIVISLAB, DLF, DMART, DRREDDY, EICHERMOT, GAIL, GODREJCP, GRASIM, HAVELLS, HCLTECH, INFY, IOC, IRCTC, ITC, JINDALSTEL, JSWENERGY, JSWSTEEL, LICI, LODHA, LT, LTIM, M&M, MARUTI, MOTHERSON, NAUKRI, NESTLEIND, NHPC, NTPC, ONGC, PIDILITIND, RELIANCE, SBILIFE, SBIN, SHREECEM, SIEMENS, SUNPHARMA, TATACONSUM, TATAMOTORS, TATAPOWER, TATASTEEL, TCS, TECHM, TITAN, TORNTPHARM, TRENT, TVSMOTOR",21.9921,17.0673,0.5491,0.2165,11.3489,10.6457,8.9405,11.5732,19.4404,19.0932
1,Premium Margin Leaders,14,"ADANIPORTS, BAJAJHLDNG, BHARTIARTL, COALINDIA, HDFCLIFE, HEROMOTOCO, HINDALCO, HINDUNILVR, ICICIGI, ICICIPRULI, INDIGO, JIOFIN, KOTAKBANK, POWERGRID",78.217,14.684,0.7027,0.0718,14.099,13.1741,19.3833,19.7347,81.4177,85.0949
2,Defense PSU — Extreme ROE Outlier,2,"BEL, HAL",4280.3153,4280.3153,0.565,0.565,9.7317,9.7317,,,28.5051,28.5051
3,Financial Sector — High Leverage Growth,15,"ADANIGREEN, AXISBANK, BAJAJFINSV, BAJFINANCE, BANKBARODA, CANBK, CHOLAFIN, HDFCBANK, ICICIBANK, INDUSINDBK, IRFC, PFC, PNB, RECLTD, SHRIRAMFIN",20.3924,16.7161,7.2318,6.8088,19.0187,18.1756,-6.3492,-6.3492,51.1426,38.0218
4,High FCF Growth Outlier,1,CIPLA,15.5546,15.5546,0.0209,0.0209,9.5139,9.5139,228.7504,228.7504,75.5917,75.5917
