company_id,broad_sector,cluster_id,metric,metric_label,metric_value,sector_mean,sector_std,sector_count,z_score,abs_z_score,outlier_flag,handling
ADANIPORTS,Industrials,1,operating_profit_margin_pct,Operating Profit Margin,58.361724,21.333371,15.56934,10,2.378287,2.378287,False,computed
ADANIPORTS,Industrials,1,return_on_equity_pct,Return on Equity,15.354883,874.176985,1808.577244,10,-0.474861,0.474861,False,computed
ADANIPORTS,Industrials,1,debt_to_equity,Debt to Equity,0.937322,0.583291,0.619304,10,0.571659,0.571659,False,computed
ADANIPORTS,Industrials,1,return_on_capital_employed_pct,ROCE,15.902512,841.721338,1710.114178,10,-0.482903,0.482903,False,computed
ADANIPORTS,Industrials,1,asset_turnover,Asset Turnover,0.228301,20.647597,42.442182,10,-0.481109,0.481109,False,computed
ADANIPORTS,Industrials,1,revenue_cagr_5yr,Revenue CAGR 5Yr,19.578676,10.876325,6.638909,10,1.310811,1.310811,False,computed
ADANIPORTS,Industrials,1,fcf_conversion_pct,FCF Conversion,52.921932,-30.851354,123.344214,10,0.679183,0.679183,False,computed
ADANIPORTS,Industrials,1,cfo_quality_score,CFO Quality Score,1.923293,1.17796,1.470801,10,0.506753,0.506753,False,computed
ADANIPORTS,Industrials,1,capex_intensity_pct,Capex Intensity,25.337876,13.741162,10.040116,10,1.155038,1.155038,False,computed
ADANIPOWER,Energy,0,net_profit_margin_pct,Net Profit Margin,41.367599,16.022672,12.981687,14,1.95236,1.95236,False,computed
ADANIPOWER,Energy,0,operating_profit_margin_pct,Operating Profit Margin,36.201863,33.596854,24.659114,14,0.105641,0.105641,False,computed
ADANIPOWER,Energy,0,return_on_equity_pct,Return on Equity,48.276741,17.933799,11.243965,14,2.698598,2.698598,False,computed
ADANIPOWER,Energy,0,debt_to_equity,Debt to Equity,0.802318,1.459648,1.634055,14,-0.40227,0.40227,False,computed
ADANIPOWER,Energy,0,return_on_capital_employed_pct,ROCE,36.150512,19.326477,8.626593,14,1.950252,1.950252,False,computed
ADANIPOWER,Energy,0,asset_turnover,Asset Turnover,0.54724,0.653519,0.612361,14,-0.173557,0.173557,False,computed
ADANIPOWER,Energy,0,revenue_cagr_5yr,Revenue CAGR 5Yr,16.086096,12.446835,8.494439,14,0.428429,0.428429,False,computed
ADANIPOWER,Energy,0,fcf_conversion_pct,FCF Conversion,96.83454,18.263863,65.003647,14,1.208712,1.208712,False,computed
ADANIPOWER,Energy,0,cfo_quality_score,CFO Quality Score,1.322341,2.010569,1.208837,14,-0.569331,0.569331,False,computed
